Animal,Color,Diet,Habitat,Predators,Countries Found,Conservation Status,Family,Social Structure,Height (cm) (Cleaned),Weight (kg) (Cleaned),Lifespan (years) (Cleaned),Average Speed (km/h) (Cleaned),Gestation Period (days) (Cleaned),Top Speed (km/h) (Cleaned),Offspring per Birth (Cleaned)
Barbary Macaque,"Brown, Gray","Herbivore, Omnivore","Forests, Mountains","Leopards, Eagles","Gibraltar, North Africa, Middle East",Endangered,Cercopithecidae,Group-based,,9.0,,30.0,182.5,30.0,1.0
Basking Shark,"Gray, Brown",Carnivore,Oceans,"Orcas, Great White Sharks",Worldwide,Vulnerable,Cetorhinidae,Solitary,,550.0,22.5,21.0,36.0,21.0,3.0
Bearded Dragon,Various,Omnivore,"Deserts, Woodlands","Birds, Snakes",Australia,Not Evaluated,Agamidae,Solitary,,,10.5,52.0,55.0,52.0,
Bengal Fox,Yellowish-gray,Omnivore,Grasslands,"Wolves, Birds of Prey","India, Nepal, Bhutan",Least Concern,Canidae,Solitary,37.5,3.25,7.0,40.0,55.0,40.0,3.5
Bengal Tiger,"Orange, Black",Carnivore,"Grasslands, Mangroves","Humans, Crocodiles","India, Bangladesh, Nepal",Endangered,Felidae,Solitary,100.0,240.0,12.5,65.0,105.0,65.0,3.0
Black Rhinoceros,"Gray, Black",Herbivore,"Grasslands, Forests","Lions, Hyenas",Eastern and Southern Africa,Critically Endangered,Rhinocerotidae,Solitary,156.0,800.0,42.5,56.0,465.0,56.0,1.0
Blobfish,Pinkish-gray,Carnivore,Deep-sea,Not Applicable,"Australia, New Zealand, Tasmania",Vulnerable,Psychrolutidae,Solitary,,,,,,,
Blobfish,Pinkish-gray,Carnivore,Deep-sea,Not Applicable,Deep-sea regions,Vulnerable,Psychrolutidae,Solitary,,,,,,,
Blue Jay,"Blue, White",Omnivore,"Forests, Urban Areas","Birds of Prey, Snakes",North America,Least Concern,Corvidae,Flocks,26.0,0.1,10.5,32.0,17.5,32.0,4.0
Blue Morpho Butterfly,Blue,Herbivore,Rainforests,"Birds, Bats",Central and South America,Not Evaluated,Nymphalidae,Solitary,,,1.0,,,,
Blue Whale,Blue-grey,Filter Feeder,Oceans,Orcas,Oceans worldwide,Endangered,Balaenopteridae,Solitary,,,80.0,40.0,10.0,39.0,
Blue-Footed Booby,"Blue, White",Piscivore,Coastal Areas,"Orcas, Sharks",Eastern Pacific (GalÃ¡pagos Islands),Least Concern,Sulidae,Group-based,83.0,2.25,14.5,30.0,43.0,30.0,1.0
Blue-Ringed Octopus,"Blue, Brown",Carnivore,"Coral Reefs, Tide Pools",Larger Fish,Indo-Pacific region,Near Threatened,Octopodidae,Solitary,,,6.0,,60.0,,
Bonobo,Black,Omnivore,Rainforests,"Leopards, Humans",Democratic Republic of Congo,Endangered,Hominidae,Social groups,,35.0,50.0,50.0,225.0,50.0,1.0
Bornean Orangutan,Reddish-brown,Omnivore,Rainforests,"Tigers, Humans",Borneo,Critically Endangered,Hominidae,Solitary,123.0,56.0,40.0,52.0,250.0,52.0,1.0
Bottlenose Dolphin,Grey,Carnivore,Oceans,"Sharks, Orcas",Oceans worldwide,Least Concern,Delphinidae,Social pods,300.0,400.0,35.0,37.0,,64.0,1.0
Boxer Dog,"Fawn, Brindle",Omnivore,Human Dwellings,Not Applicable,Worldwide,Not Applicable,Canidae,Social groups,58.0,28.5,11.0,64.0,63.0,64.0,5.5
Brazilian Wandering Spider,Brown,Carnivore,Forests,"Birds, Mammals",South and Central America,Not Evaluated,Ctenidae,Solitary,,,1.5,,28.0,,
Brown Bear,Brown,Omnivore,"Forests, Mountains","Wolves, Tigers","North America, Europe, Asia",Least Concern,Ursidae,Solitary,95.0,425.0,25.0,48.0,215.0,48.0,2.5
Burmese Python,"Brown, Black",Carnivore,"Grasslands, Forests","Leopards, Hawksbills","Southeast Asia, South Asia, Indonesia",Least Concern,Pythonidae,Solitary,,,22.5,2.0,94.0,2.0,55.0
Capybara,Brown,Herbivore,"Grasslands, Swamps","Jaguars, Anacondas",South America,Least Concern,Caviidae,Group-based,56.0,50.5,9.0,32.5,150.0,35.0,5.0
Cheetah,Tan with Black Spots,Carnivore,"Grasslands, Savannas","Lions, Hyenas","Africa, Iran, India",Vulnerable,Felidae,Solitary,80.0,46.0,11.0,112.0,94.0,112.0,4.0
Chimpanzee,Black,Omnivore,"Rainforests, Grasslands","Leopards, Humans",Central and West Africa,Endangered,Hominidae,Social groups,,48.0,45.0,40.0,235.0,40.0,1.0
Chinese Giant Salamander,Dark Brown,Carnivore,Freshwater,"Fish, Crustaceans",China,Critically Endangered,Cryptobranchidae,Solitary,,,,,55.0,,
Clownfish,Orange,Omnivore,Coral Reefs,"Larger Fish, Anemones","Indian, Pacific Oceans",Not Evaluated,Pomacentridae,Group-based,8.5,175.0,8.0,8.0,8.0,1.6,
Coelacanth,"Brown, Grey",Carnivore,"Deep-sea, Caves","Sharks, Humans",Western Indian Ocean,Not Evaluated,Latimeriidae,Solitary,,,,1.6,260.0,,
Common Dolphin,"Gray, Yellow",Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",Worldwide,Least Concern,Delphinidae,Group-based,225.0,117.5,22.5,60.0,370.0,60.0,1.0
Common Snapping Turtle,"Brown, Gray",Omnivore,Freshwater,"Birds, Raccoons",North America,Least Concern,Chelydridae,Solitary,28.0,10.25,40.0,,60.0,,25.0
Coquerel's Sifaka,"White, Black",Herbivore,"Rainforests, Madagascar","Fossa, Hawks",Madagascar,Endangered,Indriidae,Group-based,45.0,4.5,16.5,37.5,150.0,30.0,1.0
Dalmatian Dog,"White, Black",Omnivore,Worldwide,"Wolves, Birds of Prey",Worldwide,Not Applicable,Canidae,Pack-based,55.5,27.5,11.5,42.5,63.0,37.0,7.5
Dhole,"Red, Brown",Carnivore,"Forests, Grasslands","Tigers, Leopards",Asia,Endangered,Canidae,Pack-based,52.5,16.5,12.5,56.0,61.5,56.0,6.0
Dingo,"Tan, Brown",Carnivore,"Grasslands, Forests","Humans, Dingoes",Australia,Least Concern,Canidae,Group-based,53.0,16.5,12.5,56.0,63.0,56.0,5.5
Dugong,Gray,Herbivore,"Coastal Waters, Seagrass","Sharks, Orcas","Indian Ocean, Western Pacific",Vulnerable,Dugongidae,Solitary,,,75.0,12.5,13.0,27.0,1.0
Eastern Gorilla,Black,Herbivore,Rainforests,"Leopards, Humans",Democratic Republic of Congo,Endangered,Hominidae,Social groups,164.0,138.5,45.0,40.0,262.5,40.0,1.0
Echidna,"Brown, Tan",Insectivore,"Forests, Grasslands","Dingoes, Eagles","Australia, New Guinea",Least Concern,Tachyglossidae,Solitary,37.5,4.5,17.5,36.0,25.0,36.0,1.0
Electric Eel,Grayish-brown,Carnivore,Amazon Basin,"Crocodiles, Jaguars",Amazon Basin,Least Concern,Gymnotidae,Solitary,,,12.5,,,4.8,
Emperor Penguin,"Black, White",Carnivore,Antarctic,Leopard Seals,Antarctica,Near Threatened,Spheniscidae,Colony-based,100.0,33.5,17.5,2.25,64.0,9.0,1.0
Emperor Tamarin,"Black, White",Omnivore,Rainforests,"Snakes, Hawks",Amazon Rainforest,Least Concern,Callitrichidae,Group-based,24.5,350.0,12.5,32.0,142.5,32.0,1.5
European Hedgehog,"Brown, Spiny",Omnivore,"Gardens, Grasslands","Foxes, Badgers","Europe, Asia",Least Concern,Erinaceidae,Solitary,22.0,0.9,3.5,5.0,35.0,5.0,5.0
Fennec Fox,Cream,Omnivore,Sahara Desert,"Eagles, Jackals",North Africa,Least Concern,Canidae,Solitary,30.0,1.2,12.0,32.0,51.0,32.0,3.5
Fire Salamander,"Black, Yellow",Carnivore,"Forests, Caves","Birds, Foxes",Europe,Near Threatened,Salamandridae,Solitary,20.0,,12.5,0.8,45.0,0.8,35.0
Flying Fox,"Brown, Gray",Herbivore,Forests,Birds of Prey,"Asia, Australia",Least Concern,Pteropodidae,Group-based,,,19.0,45.0,145.0,45.0,1.0
Fossa,"Brown, Reddish-brown",Carnivore,"Rainforests, Madagascar","Humans, Larger Predators",Madagascar,Vulnerable,Eupleridae,Solitary,80.0,6.5,17.5,46.5,90.0,46.5,3.0
Frilled Lizard,"Brown, Grey","Insectivore, Herbivore",Northern Australia,"Birds, Dingoes",Northern Australia,Least Concern,Agamidae,Solitary,,,12.5,29.0,46.0,29.0,15.5
GalÃ¡pagos Penguin,"Black, White",Carnivore,Coastal Areas,"Orcas, Sharks",GalÃ¡pagos Islands,Endangered,Spheniscidae,Solitary,51.0,2.0,,29.5,40.0,29.5,1.0
Galápagos Penguin,"Black, White","Carnivore, Piscivore",Galápagos Islands,"Sharks, Birds",Galápagos Islands,Endangered,Spheniscidae,Colony-based,50.5,2.15,17.5,6.5,39.0,35.0,1.0
Galápagos Tortoise,"Brown, Grey",Herbivore,Galápagos Islands,"Humans, Rats",Galápagos Islands,Vulnerable,Testudinidae,Solitary,,,125.0,0.4,135.0,0.3,
Galliformes,Varies,Omnivore,Varies,Varies,Worldwide,Varies,Phasianidae,Varies,,,,,,,
Gaur,"Dark Brown, Black",Herbivore,"Grasslands, Forests","Tigers, Leopards","Southeast Asia, South Asia",Vulnerable,Bovidae,Herd-based,240.0,950.0,22.5,35.0,277.5,35.0,1.0
Gerenuk,"Brown, White",Herbivore,"Savannas, Scrublands","Lions, Leopards","Eastern Africa, Horn of Africa",Near Threatened,Bovidae,Solitary,92.5,40.0,9.0,55.0,192.5,95.0,1.0
Gharial,Brownish-gray,Carnivore,"Rivers, Lakes","Crocodiles, Tigers",Indian subcontinent,Critically Endangered,Gavialidae,Solitary,,,50.0,32.0,108.5,32.0,57.5
Giant Pacific Octopus,"Red, Brown",Carnivore,Ocean Floor,"Fish, Sharks",Pacific Ocean,Data Deficient,Enteroctopodidae,Solitary,,,4.0,24.0,60.0,24.0,
Giant Panda,"Black, White",Herbivore,Temperate Broadleaf Forests,Snow Leopards,China,Endangered,Ursidae,Solitary,80.0,97.5,25.0,32.0,127.5,32.0,1.0
Gila Monster,"Black, Orange",Carnivore,"Deserts, Scrubland","Birds of Prey, Coyotes","Southwestern United States, Mexico",Least Concern,Helodermatidae,Solitary,,,,1.5,135.0,,
Glass Frog,"Green, Transparent",Insectivore,Rainforests,"Birds, Snakes",Central and South America,Least Concern,Centrolenidae,Solitary,4.95,,10.0,0.8,15.0,,
Goblin Shark,Pinkish-gray,Carnivore,Deep-sea,"Larger Fish, Other Sharks",Worldwide,Data Deficient,Mitsukurinidae,Solitary,,,32.5,2.3,,,
Goblin Shark,Pinkish-gray,Carnivore,Deep-sea,Not Applicable,Worldwide,Data Deficient,Mitsukurinidae,Solitary,,,32.5,,,,
Golden Lion Tamarin,"Golden, Reddish-brown",Omnivore,Tropical Rainforests,"Birds, Snakes","Brazil, Southeastern Bahia",Endangered,Callitrichidae,Social groups,,,12.5,10.5,127.5,10.5,2.0
Golden Poison Dart Frog,Various,Insectivore,Rainforests,Snakes,Western Colombia,Near Threatened,Dendrobatidae,Solitary,4.5,,13.5,0.3,14.0,0.3,
Great White Shark,Grey,Carnivore,Oceans,Orcas,Oceans worldwide,Vulnerable,Lamnidae,Solitary,,,35.0,56.0,12.0,56.0,2.0
Great White Shark,"Gray, White",Carnivore,Oceans,Orcas,Worldwide,Vulnerable,Lamnidae,Solitary,,,70.0,56.0,15.0,56.0,9.5
Green Anaconda,Olive-green,Carnivore,"Swamps, Marshes","Jaguars, Caymans",South America,Least Concern,Boidae,Solitary,,,12.5,16.0,155.0,24.0,
Green Sea Turtle,Greenish-brown,Herbivore,"Oceans, Coastal Areas",Predatory Fish,Oceans worldwide,Endangered,Cheloniidae,Solitary,,,90.0,2.4,57.5,35.0,
Green Sea Turtle,Green,Herbivore,Oceans,"Sharks, Orcas",Worldwide,Endangered,Cheloniidae,Solitary,95.0,129.0,80.0,35.0,60.0,35.0,
Grevy's Zebra,"White, Black",Herbivore,Grasslands,"Lions, Hyenas",Eastern Africa,Endangered,Equidae,Herd-based,145.0,400.0,25.0,64.0,393.0,64.0,1.0
Hagfish,"Pink, Gray",Scavenger,"Ocean Floor, Deep-sea",Various Predators,Oceans worldwide,Least Concern,Myxinidae,Solitary,,,,0.8,,,
Hagfish,Pinkish-gray,Carnivore,Deep-sea,Not Applicable,Worldwide,Data Deficient,Myxinidae,Solitary,,,,,,,
Harp Seal,"Silver, Gray",Carnivore,"Arctic, Atlantic Ocean","Polar Bears, Orcas","Arctic, Atlantic Ocean",Least Concern,Phocidae,Group-based,,,27.5,20.5,335.0,28.0,1.0
Harpy Eagle,"Black, White",Carnivore,Rainforests,"Jaguars, Snakes",Central and South America,Near Threatened,Accipitridae,Solitary,96.5,6.75,30.0,50.0,57.0,50.0,1.0
Hippopotamus,Grey,Herbivore,"Rivers, Lakes","Lions, Crocodiles",Sub-Saharan Africa,Vulnerable,Hippopotamidae,Group-based,140.0,2250.0,45.0,25.0,240.0,30.0,1.0
Horseshoe Crab,Brownish-gray,"Carnivore, Scavenger","Ocean Floor, Coastal Areas","Birds, Predatory Fish","Atlantic Ocean, Gulf of Mexico",Vulnerable,Limulidae,Solitary,,,,1.2,,,
Hummingbird,Various,"Nectar, Insects",Americas,"Birds of Prey, Snakes",Americas,Least Concern,Trochilidae,Solitary,10.25,11.0,4.0,60.0,17.5,80.0,2.0
Humpback Whale,"Black, White",Omnivore,Oceans,Orcas,Worldwide,Least Concern,Balaenopteridae,Solitary,,,47.5,25.5,365.0,25.5,1.0
Iberian Lynx,Yellowish-brown,Carnivore,Mediterranean Scrublands,"Humans, Wildcats","Spain, Portugal",Endangered,Felidae,Solitary,65.0,11.5,11.5,75.0,65.0,75.0,2.5
Indri,"Black, White",Herbivore,Rainforests,"Fossa, Birds of Prey",Madagascar,Critically Endangered,Indridae,Solitary,,,16.5,25.5,130.0,25.5,1.0
Japanese Giant Hornet,"Yellow, Black","Carnivore, Insectivore","Forests, Mountains","Birds, Bees","Japan, China, Southeast Asia",Not Evaluated,Vespidae,Colony-based,45.0,,4.5,49.0,,,
Japanese Macaque,Brown,Omnivore,"Forests, Mountains","Humans, Leopards","Japan, China, North Korea",Least Concern,Cercopithecidae,Social groups,55.0,12.0,25.0,30.0,183.5,30.0,1.0
Kakapo,Green,Herbivore,"Forests, Islands","Rats, Cats",New Zealand,Critically Endangered,Strigopidae,Solitary,,,,2.5,22.5,2.4,1.0
Kangaroo Rat,"Brown, Gray",Herbivore,Deserts,"Snakes, Birds of Prey",North America,Least Concern,Heteromyidae,Solitary,11.0,0.09,3.5,16.0,23.0,16.0,3.5
King Cobra,Olive-green,Carnivore,"Grasslands, Forests","Birds, Snakes","Southeast Asia, South Asia",Vulnerable,Elapidae,Solitary,,,25.0,20.0,101.5,20.0,30.0
Kiwi,Brown,Omnivore,Forests,"Stoats, Cats",New Zealand,Vulnerable,Apterygidae,Solitary,35.5,2.15,37.5,8.0,77.5,9.0,1.0
Komodo Dragon,Grey,Carnivore,"Islands, Grasslands","Humans, Larger Predators",Indonesia,Vulnerable,Varanidae,Solitary,,,25.0,20.0,7.0,20.0,22.5
Leaf-tailed Gecko,Various,Insectivore,"Rainforests, Madagascar","Birds, Snakes",Madagascar,Not Evaluated,Gekkonidae,Solitary,,,12.5,0.9,52.5,,1.5
Leafy Sea Dragon,"Brown, Green",Carnivore,Seaweed Beds,"Fish, Octopuses",Southern Australia,Near Threatened,Syngnathidae,Solitary,,,,,35.0,,
Lemur,Various,Omnivore,"Rainforests, Madagascar","Fossa, Hawks",Madagascar,Vulnerable,Lemuridae,Group-based,40.0,2.05,20.0,26.5,136.0,29.0,1.5
Lemur,Varies,Herbivore,Forests,Fossa,Madagascar,Critically Endangered,Lemuridae,Group-based,47.5,2.55,20.0,29.0,127.5,29.0,1.0
Lion-tailed Macaque,Black,"Omnivore, Herbivore","Western Ghats, India","Tigers, Leopards",India,Endangered,Cercopithecidae,Social groups,52.5,6.25,25.0,35.0,160.0,35.0,1.0
Lyrebird,"Brown, Black",Omnivore,Rainforests,"Birds of Prey, Dingoes",Australia,Least Concern,Menuridae,Solitary,90.0,1.05,17.5,0.03,52.5,,1.0
Lyrebird,"Brown, Grey",Omnivore,Forests,Birds of Prey,Australia,Least Concern,Menuridae,Solitary,88.5,0.98,,,52.5,,1.0
Malayan Krait,"Black, Yellow",Carnivore,"Forests, Grasslands","Mongooses, Birds",Southeast Asia,Least Concern,Elapidae,Solitary,,,12.5,,225.0,,12.0
Manatee,"Gray, Brown",Herbivore,"Rivers, Coastal Areas","Alligators, Sharks","North, Central, and South America",Vulnerable,Trichechidae,Solitary,350.0,495.0,50.0,8.0,407.5,8.0,1.0
Mandrill,"Brown, Green",Omnivore,Rainforests,"Leopards, Humans",Central Africa,Vulnerable,Cercopithecidae,Social groups,,,30.0,30.0,182.5,30.0,1.0
Maned Wolf,Reddish-Brown,Omnivore,"Grasslands, Forests","Jaguars, Pumas",South America,Near Threatened,Canidae,Solitary,87.0,22.5,7.0,56.0,67.5,56.0,4.0
Mantis Shrimp,Various,Carnivore,Coral Reefs,Larger Fish,Oceans worldwide,Not Evaluated,Stomatopoda,Solitary,,,,40.0,25.0,40.0,
Markhor,"Brown, Gray",Herbivore,Mountains,"Wolves, Snow Leopards","Central Asia, South Asia, Middle East",Near Threatened,Bovidae,Solitary,,,11.5,52.0,152.5,52.0,1.5
Meerkat,"Brown, Tan","Omnivore, Insectivore",Arid regions,"Eagles, Jackals","Kalahari Desert, Africa",Least Concern,Herpestidae,Social groups,30.0,0.8,13.0,32.0,71.5,32.0,3.5
Monitor Lizard,Varies,Carnivore,Various,"Birds, Snakes","Africa, Asia, Australia, Oceania",Varies,Varanidae,Solitary,,,,,,,
Mountain Gorilla,"Black, Brown",Herbivore,"Rainforests, Mountains","Leopards, Humans","Democratic Republic of Congo, Uganda",Endangered,Hominidae,Group-based,160.0,135.0,37.5,40.0,262.5,40.0,1.0
Naked Mole Rat,"Pink, Wrinkled","Herbivore, Insectivore",Underground Tunnels,"Snakes, Humans",East Africa,Least Concern,Heterocephalidae,Eusocial,,,,0.06,70.0,,
Narwhal,"Gray, Mottled White",Carnivore,Arctic Waters,"Polar Bears, Orcas",Arctic,Near Threatened,Monodontidae,Solitary,,,55.0,45.0,14.0,45.0,1.0
Nudibranch,Various,Carnivore,"Oceans, Coral Reefs","Sea Anemones, Predatory Fish",Oceans worldwide,Not Evaluated,Nudibranchia,Solitary,,,,,,,
Numbat,"Red, White",Insectivore,Eucalyptus Forests,"Foxes, Cats",Western Australia,Endangered,Myrmecobiidae,Solitary,40.0,0.66,,8.0,14.0,8.0,5.0
Okapi,"Brown, White",Herbivore,Central Africa,"Leopards, Lions",Democratic Republic of Congo,Endangered,Giraffidae,Solitary,225.0,275.0,25.0,56.0,445.0,58.0,1.0
Okapi,"Dark Brown, White",Herbivore,Rainforests,"Leopards, Humans",Democratic Republic of Congo,Endangered,Giraffidae,Solitary,225.0,275.0,25.0,58.0,435.0,58.0,1.0
Orangutan,Reddish-brown,Omnivore,Rainforests,"Tigers, Humans","Indonesia, Malaysia",Critically Endangered,Hominidae,Solitary,,56.0,37.5,9.0,240.0,40.0,1.0
Pangolin,"Brown, Yellowish",Insectivore,"Grasslands, Forests","Lions, Tigers","Asia, Africa",Critically Endangered,Manidae,Solitary,65.0,21.0,15.0,32.0,250.0,32.0,1.0
Patagonian Mara,"Brown, Gray",Herbivore,Grasslands,"Foxes, Birds of Prey","Argentina, Chile",Least Concern,Caviidae,Group-based,60.0,10.75,7.5,30.0,77.5,30.0,2.0
Peacock Mantis Shrimp,Various,Carnivore,Coral Reefs,"Fish, Crustaceans",Indo-Pacific region,Not Evaluated,Gonodactylidae,Solitary,,,,72.0,6.0,72.0,
Pink Fairy Armadillo,Pink,Insectivore,Grasslands,"Foxes, Birds of Prey",Argentina,Near Threatened,Chlamyphoridae,Solitary,12.0,,6.0,,62.0,,1.0
Pink Fairy Armadillo,Pinkish,Insectivore,Grasslands,"Birds, Canids",Argentina,Near Threatened,Dasypodidae,Solitary,13.5,,4.0,0.8,62.0,0.8,1.0
Platypus,Brown,"Carnivore, Insectivore",Eastern Australia,"Foxes, Birds of Prey",Australia,Near Threatened,Ornithorhynchidae,Solitary,12.5,1.55,13.5,5.0,,9.0,1.0
Polar Bear,White,Carnivore,Arctic,Orcas,Arctic,Vulnerable,Ursidae,Solitary,,,27.5,40.0,230.0,40.0,1.5
Potoo,"Gray, Brown","Carnivore, Insectivore","Forests, Woodlands",Birds of Prey,Central and South America,Least Concern,Nyctibiidae,Solitary,39.5,0.6,12.5,20.0,25.0,20.0,1.0
Praying Mantis,Various,Carnivore,Worldwide,"Birds, Spiders",Worldwide,Not Evaluated,Mantidae,Solitary,,0.26,9.0,0.6,35.0,,
Proboscis Monkey,"Orange, Brown",Herbivore,"Mangroves, Rainforests",Clouded Leopards,"Borneo, Malaysia",Endangered,Cercopithecidae,Social groups,60.0,19.0,,28.0,183.0,28.0,1.0
Pronghorn,"Brown, White",Herbivore,Grasslands,"Coyotes, Bobcats",North America,Least Concern,Antilocapridae,Group-based,92.5,55.0,12.5,88.5,240.0,88.5,1.0
Pufferfish,Various,Carnivore,Tropical and Subtropical,"Sharks, Humans",Oceans worldwide,Not Evaluated,Tetraodontidae,Solitary,,,6.5,8.0,,8.0,
Quokka,"Brown, Gray",Herbivore,"Scrublands, Forests","Foxes, Cats",Australia,Vulnerable,Macropodidae,Solitary,47.0,3.75,7.5,24.0,27.5,24.0,1.0
Red Fox,Reddish-brown,Omnivore,"Forests, Grasslands","Wolves, Eagles","North America, Europe, Asia",Least Concern,Canidae,Solitary,42.5,5.0,4.0,48.0,52.0,48.0,5.0
Red Kangaroo,"Brown, Red",Herbivore,Grasslands,"Dingoes, Eagles",Australia,Least Concern,Macropodidae,Group-based,160.0,56.5,,56.0,32.0,56.0,1.0
Red Panda,Reddish-brown,Herbivore,Himalayan Foothills,"Snow Leopards, Martens","China, Nepal, Bhutan, India",Endangered,Ailuridae,Solitary,57.5,4.5,10.0,0.3,135.0,0.3,2.5
Red-Eyed Tree Frog,"Green, Red",Insectivore,Rainforests,"Snakes, Birds",Central America,Least Concern,Hylidae,Solitary,6.3,,,,6.0,,
Rottweiler,"Black, Tan",Carnivore,Worldwide,"Wolves, Coyotes",Worldwide,Not Applicable,Canidae,Pack-based,62.5,48.0,9.0,35.0,63.0,32.0,9.0
Saola,"Brown, White",Herbivore,Forests,"Tigers, Leopards","Vietnam, Laos",Critically Endangered,Bovidae,Solitary,,,,26.0,240.0,26.0,1.0
Secretary Bird,"Black, Grey",Carnivore,"Grasslands, Savannas","Snakes, Lizards",Africa,Least Concern,Sagittariidae,Solitary,125.0,3.4,12.5,24.0,44.0,32.0,2.0
Serval,"Yellowish-Tan, Black",Carnivore,"Grasslands, Wetlands","Leopards, Hyenas",Africa,Least Concern,Felidae,Solitary,58.0,13.0,11.0,44.0,63.0,44.0,1.0
Shoebill,Grayish-brown,Carnivore,"Swamps, Marshes","Crocodiles, Snakes",Tropical Central Tropical Africa,Vulnerable,Balaenicipitidae,Solitary,125.0,5.0,32.5,15.0,32.5,15.0,2.0
Shortfin Mako Shark,Metallic Blue,Carnivore,Oceans,Larger Sharks,Worldwide,Vulnerable,Lamnidae,Solitary,,,31.5,45.0,22.0,45.0,1.0
